matrix,method,variant,repeat,k,sweeps,threads,finite,objective,masked_residual_norm,relative_masked_residual,checksum,t_factor,t_objective,factor_status,factor_path,factor_source,rhs_id,nrhs,restart,maxiter,tol,iterations,converged,solver_status,true_rel_residual,least_squares_rel_residual,nan_solution,nan_residual,breakdown,stagnated,solver_factor_path,solver_source,outcome
CoupCons3D,ats_ilu,async,1,0,1,2,1,245.54832092495403,22.1607003916823,0.026618855346559816,2029511.8309771963,0.495345981,0.983692925,ok,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t2_s1_r1_000016.bin,perlmutter_replay,1,1.0,50.0,2000.0,1e-08,26,1,converged,9.910373188596965e-09,9.910373190462348e-09,0.0,0.0,0.0,0.0,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t2_s1_r1_000016.bin,perlmutter_replay,converged
CoupCons3D,ats_ilu,async,1,0,1,4,1,361.4372886020551,26.886326956356648,0.03229515472896294,2024035.4346093887,0.250133262,0.929585818,ok,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t4_s1_r1_000031.bin,perlmutter_replay,1,1.0,50.0,2000.0,1e-08,27,1,converged,9.166972753173059e-09,9.166972752390167e-09,0.0,0.0,0.0,0.0,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t4_s1_r1_000031.bin,perlmutter_replay,converged
CoupCons3D,ats_ilu,async,1,0,1,8,1,426.61524682374426,29.210109442579785,0.03508642164581813,2020839.6764150492,0.1308341391,0.971081191,ok,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t8_s1_r1_000046.bin,perlmutter_replay,1,1.0,50.0,2000.0,1e-08,28,1,converged,9.792599680810247e-09,9.792599681846094e-09,0.0,0.0,0.0,0.0,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t8_s1_r1_000046.bin,perlmutter_replay,converged
CoupCons3D,ats_ilu,async,1,0,1,16,1,465.55559756216263,30.514114686884252,0.036652758736063,2018877.46635454,0.07545054785,0.9704379609,ok,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t16_s1_r1_000061.bin,perlmutter_replay,1,1.0,50.0,2000.0,1e-08,28,1,converged,9.670064186305112e-09,9.670064193060693e-09,0.0,0.0,0.0,0.0,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t16_s1_r1_000061.bin,perlmutter_replay,converged
CoupCons3D,ats_ilu,async,1,0,1,32,1,494.0207410063218,31.433127143391953,0.03775665253044176,2017557.7887256492,0.04597372911,0.939050718,ok,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t32_s1_r1_000076.bin,perlmutter_replay,1,1.0,50.0,2000.0,1e-08,29,1,converged,9.64571325378384e-09,9.645713256554031e-09,0.0,0.0,0.0,0.0,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t32_s1_r1_000076.bin,perlmutter_replay,converged
CoupCons3D,ats_ilu,async,1,0,1,64,1,521.3488369748543,32.2908295642851,0.03878690230904164,2015511.5526861765,0.04741296708,0.976334049,ok,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t64_s1_r1_000091.bin,perlmutter_replay,1,1.0,50.0,2000.0,1e-08,31,1,converged,8.024464872801116e-09,8.02446486907573e-09,0.0,0.0,0.0,0.0,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t64_s1_r1_000091.bin,perlmutter_replay,converged
CoupCons3D,ats_ilu,async,1,0,1,128,1,589.121557599486,34.325546101977345,0.04123095074752925,2010284.6592344556,0.04841041996,0.981933213,ok,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t128_s1_r1_000106.bin,perlmutter_replay,1,1.0,50.0,2000.0,1e-08,30,1,converged,9.47549718209861e-09,9.475497182522527e-09,0.0,0.0,0.0,0.0,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t128_s1_r1_000106.bin,perlmutter_replay,converged
CoupCons3D,ats_ilu,async,1,0,2,2,1,0.9177205633874478,1.3547845314938076,0.0016273318456634218,2038602.1186078128,0.9828745581,0.867406294,ok,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t2_s2_r1_000017.bin,perlmutter_replay,1,1.0,50.0,2000.0,1e-08,22,1,converged,8.510164927212083e-09,8.510164928378652e-09,0.0,0.0,0.0,0.0,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t2_s2_r1_000017.bin,perlmutter_replay,converged
CoupCons3D,ats_ilu,async,1,0,2,4,1,3.469304991925508,2.634124139795051,0.003164041217235323,2038272.0678827688,0.493520297,0.869052321,ok,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t4_s2_r1_000032.bin,perlmutter_replay,1,1.0,50.0,2000.0,1e-08,22,1,converged,8.570158756386263e-09,8.570158759062174e-09,0.0,0.0,0.0,0.0,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t4_s2_r1_000032.bin,perlmutter_replay,converged
CoupCons3D,ats_ilu,async,1,0,2,8,1,6.7721471341448325,3.6802573644094054,0.00442062916288038,2037997.887150976,0.2551947681,0.886888054,ok,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t8_s2_r1_000047.bin,perlmutter_replay,1,1.0,50.0,2000.0,1e-08,22,1,converged,8.653167764874995e-09,8.653167757846132e-09,0.0,0.0,0.0,0.0,/pscratch/sd/m/mtunnell/ats_ilu_factor_dumps/scaling_or_ats_async_norestrict/unsymmetric_54916551_9_Janna__CoupCons3D_k0/factors/CoupCons3D_mtx_k0_ats_ilu_async_t8_s2_r1_000047.bin,perlmutter_replay,converged
