matrix,k,expected_configurations,complete_configurations,partial_configurations,failure_only_configurations,missing_configurations,selected_numeric_rows,expected_numeric_rows,row_coverage_percent,fully_complete
AMD/G3_circuit,0,17,17,0,0,0,49,49,100.0,1
AMD/G3_circuit,1,17,17,0,0,0,49,49,100.0,1
AMD/G3_circuit,2,17,17,0,0,0,49,49,100.0,1
AMD/G3_circuit,3,17,17,0,0,0,49,49,100.0,1
GHS_psdef/audikw_1,1,17,3,1,13,0,8,49,16.3265306122449,0
GHS_psdef/audikw_1,2,17,3,1,13,0,8,49,16.3265306122449,0
GHS_psdef/audikw_1,3,17,3,0,14,0,7,49,14.285714285714286,0
GHS_psdef/bmwcra_1,0,17,7,3,7,0,24,49,48.97959183673469,0
GHS_psdef/bmwcra_1,2,17,6,2,9,0,18,49,36.734693877551024,0
GHS_psdef/inline_1,0,17,17,0,0,0,49,49,100.0,1
GHS_psdef/inline_1,1,17,10,0,7,0,28,49,57.142857142857146,0
GHS_psdef/inline_1,2,17,10,0,7,0,28,49,57.142857142857146,0
GHS_psdef/inline_1,3,17,10,0,7,0,28,49,57.142857142857146,0
Janna/Bump_2911,3,17,4,2,11,0,14,49,28.571428571428573,0
Janna/Emilia_923,0,17,9,0,8,0,25,49,51.02040816326531,0
Janna/Emilia_923,1,17,9,1,7,0,26,49,53.06122448979592,0
Janna/Emilia_923,2,17,8,2,7,0,26,49,53.06122448979592,0
Janna/Emilia_923,3,17,8,2,7,0,24,49,48.97959183673469,0
Janna/Flan_1565,0,17,10,0,7,0,28,49,57.142857142857146,0
Janna/Flan_1565,1,17,8,0,9,0,22,49,44.89795918367347,0
Janna/Flan_1565,2,17,8,0,9,0,22,49,44.89795918367347,0
Janna/Flan_1565,3,17,6,1,10,0,17,49,34.69387755102041,0
Janna/Geo_1438,0,17,17,0,0,0,49,49,100.0,1
Janna/Geo_1438,1,17,17,0,0,0,49,49,100.0,1
Janna/Geo_1438,2,17,17,0,0,0,49,49,100.0,1
Janna/Geo_1438,3,17,17,0,0,0,49,49,100.0,1
Janna/Hook_1498,0,17,17,0,0,0,49,49,100.0,1
Janna/Hook_1498,1,17,17,0,0,0,49,49,100.0,1
Janna/Hook_1498,2,17,17,0,0,0,49,49,100.0,1
Janna/Hook_1498,3,17,17,0,0,0,49,49,100.0,1
Janna/Serena,3,17,10,0,7,0,28,49,57.142857142857146,0
Mazaheri/bundle_adj,0,17,4,1,12,0,12,49,24.489795918367346,0
Mazaheri/bundle_adj,1,17,4,1,12,0,11,49,22.448979591836736,0
Mazaheri/bundle_adj,2,17,5,0,12,0,13,49,26.53061224489796,0
Mazaheri/bundle_adj,3,17,4,1,12,0,12,49,24.489795918367346,0
Oberwolfach/bone010,0,17,17,0,0,0,49,49,100.0,1
Oberwolfach/bone010,1,17,17,0,0,0,49,49,100.0,1
Oberwolfach/bone010,2,17,11,0,6,0,31,49,63.265306122448976,0
Oberwolfach/bone010,3,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_0_k101,0,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_1_k101,0,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_1_k101,1,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_2_k101,0,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_2_k101,1,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_3_k101,0,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_3_k101,1,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_4_k101,0,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_4_k101,1,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_5_k101,0,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_5_k101,1,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_shell3,0,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_shell3,1,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_shell3,2,17,11,1,5,0,33,49,67.34693877551021,0
Schenk_AFE/af_shell3,3,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_shell4,0,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_shell4,1,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_shell4,2,17,12,0,5,0,34,49,69.38775510204081,0
Schenk_AFE/af_shell4,3,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_shell7,0,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_shell7,1,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_shell7,2,17,12,0,5,0,34,49,69.38775510204081,0
Schenk_AFE/af_shell7,3,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_shell8,0,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_shell8,1,17,17,0,0,0,49,49,100.0,1
Schenk_AFE/af_shell8,2,17,12,0,5,0,34,49,69.38775510204081,0
Schenk_AFE/af_shell8,3,17,17,0,0,0,49,49,100.0,1
Schmid/thermal2,0,17,17,0,0,0,49,49,100.0,1
Schmid/thermal2,1,17,17,0,0,0,49,49,100.0,1
Schmid/thermal2,2,17,17,0,0,0,49,49,100.0,1
Schmid/thermal2,3,17,17,0,0,0,49,49,100.0,1
