matrix,k,eligible,replacement_pair,timing_sequential_success,timing_sequential_variant,timing_sequential_seconds
GHS_psdef/bmwcra_1,0,1,0,1,baseline,0.30977643
GHS_psdef/bmwcra_1,1,0,0,0,baseline_nonpositive_pivot,
GHS_psdef/bmwcra_1,2,1,0,1,baseline,5.068353092
GHS_psdef/bmwcra_1,3,0,1,0,baseline_nonpositive_pivot,
Boeing/pwtk,0,0,0,0,baseline_nonpositive_pivot,
Boeing/pwtk,1,0,0,0,baseline_nonpositive_pivot,
Boeing/pwtk,2,0,0,0,baseline_nonpositive_pivot,
Boeing/pwtk,3,0,1,0,baseline_nonpositive_pivot,
BenElechi/BenElechi1,0,0,0,0,baseline_nonpositive_pivot,
BenElechi/BenElechi1,1,0,0,0,baseline_nonpositive_pivot,
BenElechi/BenElechi1,2,0,0,0,baseline_nonpositive_pivot,
BenElechi/BenElechi1,3,0,1,0,baseline_nonpositive_pivot,
INPRO/msdoor,0,0,0,0,baseline_nonpositive_pivot,
INPRO/msdoor,1,0,0,0,baseline_nonpositive_pivot,
INPRO/msdoor,2,0,0,0,baseline_nonpositive_pivot,
INPRO/msdoor,3,0,1,0,baseline_nonpositive_pivot,
Schenk_AFE/af_0_k101,0,1,0,1,baseline,0.175411585
Schenk_AFE/af_0_k101,1,0,0,0,baseline_nonpositive_pivot,
Schenk_AFE/af_0_k101,2,0,0,0,baseline_nonpositive_pivot,
Schenk_AFE/af_0_k101,3,0,1,0,baseline_nonpositive_pivot,
Schenk_AFE/af_1_k101,0,1,0,1,baseline,0.174645312
Schenk_AFE/af_1_k101,1,1,0,1,baseline,0.290725711
Schenk_AFE/af_1_k101,2,0,0,0,baseline_nonpositive_pivot,
Schenk_AFE/af_1_k101,3,0,1,0,baseline_nonpositive_pivot,
Schenk_AFE/af_2_k101,0,1,0,1,baseline,0.174754947
Schenk_AFE/af_2_k101,1,1,0,1,baseline,0.291071292
Schenk_AFE/af_2_k101,2,0,0,0,baseline_nonpositive_pivot,
Schenk_AFE/af_2_k101,3,0,1,0,baseline_nonpositive_pivot,
Schenk_AFE/af_3_k101,0,1,0,1,baseline,0.176030611
Schenk_AFE/af_3_k101,1,1,0,1,baseline,0.2904790579
Schenk_AFE/af_3_k101,2,0,0,0,baseline_nonpositive_pivot,
Schenk_AFE/af_3_k101,3,0,1,0,baseline_nonpositive_pivot,
Schenk_AFE/af_4_k101,0,1,0,1,baseline,0.1748721499
Schenk_AFE/af_4_k101,1,1,0,1,baseline,0.2891298541
Schenk_AFE/af_4_k101,2,0,0,0,baseline_nonpositive_pivot,
Schenk_AFE/af_4_k101,3,0,1,0,baseline_nonpositive_pivot,
Schenk_AFE/af_5_k101,0,1,0,1,baseline,0.175547088
Schenk_AFE/af_5_k101,1,1,0,1,baseline,0.289272498
Schenk_AFE/af_5_k101,2,0,0,0,baseline_nonpositive_pivot,
Schenk_AFE/af_5_k101,3,0,1,0,baseline_nonpositive_pivot,
GHS_psdef/inline_1,0,1,0,1,baseline,1.281054909
GHS_psdef/inline_1,1,1,0,1,baseline,4.389652893
GHS_psdef/inline_1,2,1,0,1,baseline,11.76674486
GHS_psdef/inline_1,3,1,1,1,baseline,25.2421414
Schenk_AFE/af_shell3,0,1,0,1,baseline,0.177563248
Schenk_AFE/af_shell3,1,1,0,1,baseline,0.3068551
Schenk_AFE/af_shell3,2,1,0,1,baseline,0.6680070859
Schenk_AFE/af_shell3,3,1,1,1,baseline,1.190332619
Schenk_AFE/af_shell4,0,1,0,1,baseline,0.177181968
Schenk_AFE/af_shell4,1,1,0,1,baseline,0.307807869
Schenk_AFE/af_shell4,2,1,0,1,baseline,0.683149208
Schenk_AFE/af_shell4,3,1,1,1,baseline,1.199562055
Schenk_AFE/af_shell7,0,1,0,1,baseline,0.178189339
Schenk_AFE/af_shell7,1,1,0,1,baseline,0.307472163
Schenk_AFE/af_shell7,2,1,0,1,baseline,0.6733337661
Schenk_AFE/af_shell7,3,1,1,1,baseline,1.191118707
Schenk_AFE/af_shell8,0,1,0,1,baseline,0.177212895
Schenk_AFE/af_shell8,1,1,0,1,baseline,0.306195788
