canonical_matrix,family,source,source_file,source_line,seconds_per_sweep,matrix,method,variant,repeat,numeric_repeat,k,sweeps,threads,preprocess,t_preprocess_mc64,t_preprocess_diag,t_preprocess_rcm,t_preprocess_total,t_mc64_prepare,t_mc64_match,t_mc64_apply,t_rcm_order,t_rcm_apply,t_preprocess_reorder_apply,diag_nonzeros_after_mc64,rcm_levels_hint,symbolic_mode,symbolic_levels,symbolic_fallback,n,nnz,L_nnz,U_nnz,S_nnz,t_symbolic_pattern,t_numeric_fill,t_transform,t_algorithm_setup,t_factor,t_total,checksum
AMD/G3_circuit,ats_async,base,results/perlmutter_2026-08-03/scratch/ats_ic_results/scaling_or/spd_56075512_133_AMD__G3_circuit_k0.csv,3,0.02172427601,G3_circuit.mtx,ats_ic,async,1,1,0,1,1,diag-rcm,0.000000000e+00,2.554790198e-02,8.816533199e-01,9.077618810e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.368447730e-01,7.448085470e-01,7.703564489e-01,0,515,levelset,1,0,1585478,7660826,4623152,4623152,7660826,2.598612499e-02,6.053604302e-02,3.517227503e-02,1.375834399e-02,2.172427601e-02,1.064939654e+00,4.4592171503938688e+06
AMD/G3_circuit,ats_async,base,results/perlmutter_2026-08-03/scratch/ats_ic_results/scaling_or/spd_56075512_133_AMD__G3_circuit_k0.csv,5,0.02183732495,G3_circuit.mtx,ats_ic,async,1,2,0,1,1,diag-rcm,0.000000000e+00,2.554790198e-02,8.816533199e-01,9.077618810e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.368447730e-01,7.448085470e-01,7.703564489e-01,0,515,levelset,1,0,1585478,7660826,4623152,4623152,7660826,2.598612499e-02,6.053604302e-02,3.517227503e-02,1.385162398e-02,2.183732495e-02,1.065145983e+00,4.4592171503938688e+06
AMD/G3_circuit,ats_async,base,results/perlmutter_2026-08-03/scratch/ats_ic_results/scaling_or/spd_56075512_133_AMD__G3_circuit_k0.csv,7,0.02188235102,G3_circuit.mtx,ats_ic,async,1,3,0,1,1,diag-rcm,0.000000000e+00,2.554790198e-02,8.816533199e-01,9.077618810e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.368447730e-01,7.448085470e-01,7.703564489e-01,0,515,levelset,1,0,1585478,7660826,4623152,4623152,7660826,2.598612499e-02,6.053604302e-02,3.517227503e-02,1.378599694e-02,2.188235102e-02,1.065125382e+00,4.4592171503938688e+06
AMD/G3_circuit,ats_async,base,results/perlmutter_2026-08-03/scratch/ats_ic_results/scaling_or/spd_56075512_133_AMD__G3_circuit_k0.csv,9,0.009766606404,G3_circuit.mtx,ats_ic,async,1,1,0,5,2,diag-rcm,0.000000000e+00,2.554790198e-02,8.816533199e-01,9.077618810e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.368447730e-01,7.448085470e-01,7.703564489e-01,0,515,levelset,1,0,1585478,7660826,4623152,4623152,7660826,2.598612499e-02,6.053604302e-02,3.517227503e-02,1.241965999e-02,4.883303202e-02,1.090709726e+00,4.4592171503938688e+06
AMD/G3_circuit,ats_async,base,results/perlmutter_2026-08-03/scratch/ats_ic_results/scaling_or/spd_56075512_133_AMD__G3_circuit_k0.csv,11,0.009637814598,G3_circuit.mtx,ats_ic,async,1,2,0,5,2,diag-rcm,0.000000000e+00,2.554790198e-02,8.816533199e-01,9.077618810e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.368447730e-01,7.448085470e-01,7.703564489e-01,0,515,levelset,1,0,1585478,7660826,4623152,4623152,7660826,2.598612499e-02,6.053604302e-02,3.517227503e-02,1.272560807e-02,4.818907299e-02,1.090371715e+00,4.4592171503938688e+06
AMD/G3_circuit,ats_async,base,results/perlmutter_2026-08-03/scratch/ats_ic_results/scaling_or/spd_56075512_133_AMD__G3_circuit_k0.csv,13,0.009749295004,G3_circuit.mtx,ats_ic,async,1,3,0,5,2,diag-rcm,0.000000000e+00,2.554790198e-02,8.816533199e-01,9.077618810e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.368447730e-01,7.448085470e-01,7.703564489e-01,0,515,levelset,1,0,1585478,7660826,4623152,4623152,7660826,2.598612499e-02,6.053604302e-02,3.517227503e-02,1.206208195e-02,4.874647502e-02,1.090265591e+00,4.4592171503938688e+06
AMD/G3_circuit,ats_async,base,results/perlmutter_2026-08-03/scratch/ats_ic_results/scaling_or/spd_56075512_133_AMD__G3_circuit_k0.csv,15,0.0056795608019999996,G3_circuit.mtx,ats_ic,async,1,1,0,5,4,diag-rcm,0.000000000e+00,2.554790198e-02,8.816533199e-01,9.077618810e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.368447730e-01,7.448085470e-01,7.703564489e-01,0,515,levelset,1,0,1585478,7660826,4623152,4623152,7660826,2.598612499e-02,6.053604302e-02,3.517227503e-02,1.287103700e-02,2.839780401e-02,1.070725875e+00,4.4592171503938660e+06
AMD/G3_circuit,ats_async,base,results/perlmutter_2026-08-03/scratch/ats_ic_results/scaling_or/spd_56075512_133_AMD__G3_circuit_k0.csv,17,0.005658710584,G3_circuit.mtx,ats_ic,async,1,2,0,5,4,diag-rcm,0.000000000e+00,2.554790198e-02,8.816533199e-01,9.077618810e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.368447730e-01,7.448085470e-01,7.703564489e-01,0,515,levelset,1,0,1585478,7660826,4623152,4623152,7660826,2.598612499e-02,6.053604302e-02,3.517227503e-02,1.248646795e-02,2.829355292e-02,1.070237055e+00,4.4592171503782719e+06
AMD/G3_circuit,ats_async,base,results/perlmutter_2026-08-03/scratch/ats_ic_results/scaling_or/spd_56075512_133_AMD__G3_circuit_k0.csv,19,0.0056467795979999996,G3_circuit.mtx,ats_ic,async,1,3,0,5,4,diag-rcm,0.000000000e+00,2.554790198e-02,8.816533199e-01,9.077618810e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.368447730e-01,7.448085470e-01,7.703564489e-01,0,515,levelset,1,0,1585478,7660826,4623152,4623152,7660826,2.598612499e-02,6.053604302e-02,3.517227503e-02,1.239924005e-02,2.823389799e-02,1.070090172e+00,4.4592171503816107e+06
AMD/G3_circuit,ats_async,base,results/perlmutter_2026-08-03/scratch/ats_ic_results/scaling_or/spd_56075512_133_AMD__G3_circuit_k0.csv,21,0.005938342399999999,G3_circuit.mtx,ats_ic,async,1,1,0,5,8,diag-rcm,0.000000000e+00,2.554790198e-02,8.816533199e-01,9.077618810e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.368447730e-01,7.448085470e-01,7.703564489e-01,0,515,levelset,1,0,1585478,7660826,4623152,4623152,7660826,2.598612499e-02,6.053604302e-02,3.517227503e-02,1.299995591e-02,2.969171200e-02,1.072148702e+00,4.4592171500740042e+06
