matrix,k,expected_configurations,complete_configurations,partial_configurations,nonfinite_only_configurations,missing_configurations,selected_numeric_rows,expected_numeric_rows,row_coverage_percent,fully_complete
Janna/ML_Laplace,0,33,33,0,0,0,99,99,100.0,1
Janna/ML_Laplace,1,33,33,0,0,0,99,99,100.0,1
Janna/ML_Laplace,2,33,33,0,0,0,99,99,100.0,1
Janna/ML_Laplace,3,33,14,1,0,18,44,99,44.44444444444444,0
Janna/CoupCons3D,0,33,33,0,0,0,99,99,100.0,1
Janna/CoupCons3D,1,33,33,0,0,0,99,99,100.0,1
Janna/CoupCons3D,2,33,33,0,0,0,99,99,100.0,1
Janna/CoupCons3D,3,33,12,2,0,19,38,99,38.38383838383838,0
VLSI/vas_stokes_1M,0,33,33,0,0,0,99,99,100.0,1
VLSI/vas_stokes_1M,1,33,12,2,0,19,38,99,38.38383838383838,0
VLSI/vas_stokes_1M,2,33,12,0,0,21,36,99,36.36363636363637,0
VLSI/vas_stokes_1M,3,33,12,0,0,21,36,99,36.36363636363637,0
VLSI/dgreen,0,33,33,0,0,0,99,99,100.0,1
VLSI/dgreen,1,33,33,0,0,0,99,99,100.0,1
VLSI/dgreen,2,33,12,0,0,21,36,99,36.36363636363637,0
VLSI/dgreen,3,33,10,2,0,21,32,99,32.323232323232325,0
Bourchtein/atmosmodd,0,33,33,0,0,0,99,99,100.0,1
Bourchtein/atmosmodd,1,33,33,0,0,0,99,99,100.0,1
Bourchtein/atmosmodd,2,33,33,0,0,0,99,99,100.0,1
Bourchtein/atmosmodd,3,33,33,0,0,0,99,99,100.0,1
Bourchtein/atmosmodj,0,33,33,0,0,0,99,99,100.0,1
Bourchtein/atmosmodj,1,33,33,0,0,0,99,99,100.0,1
Bourchtein/atmosmodj,2,33,33,0,0,0,99,99,100.0,1
Bourchtein/atmosmodj,3,33,33,0,0,0,99,99,100.0,1
Hamrle/Hamrle3,0,33,33,0,0,0,99,99,100.0,1
Hamrle/Hamrle3,1,33,33,0,0,0,99,99,100.0,1
VLSI/nv2,0,33,33,0,0,0,99,99,100.0,1
VLSI/nv2,1,33,18,3,0,12,57,99,57.57575757575758,0
VLSI/nv2,2,33,12,0,0,21,36,99,36.36363636363637,0
VLSI/nv2,3,33,12,0,0,21,36,99,36.36363636363637,0
Bourchtein/atmosmodl,0,33,33,0,0,0,99,99,100.0,1
Bourchtein/atmosmodl,1,33,33,0,0,0,99,99,100.0,1
Bourchtein/atmosmodl,2,33,33,0,0,0,99,99,100.0,1
Bourchtein/atmosmodl,3,33,33,0,0,0,99,99,100.0,1
Bourchtein/atmosmodm,0,33,33,0,0,0,99,99,100.0,1
Bourchtein/atmosmodm,1,33,33,0,0,0,99,99,100.0,1
Bourchtein/atmosmodm,2,33,33,0,0,0,99,99,100.0,1
Bourchtein/atmosmodm,3,33,33,0,0,0,99,99,100.0,1
Janna/ML_Geer,0,33,33,0,0,0,99,99,100.0,1
Janna/ML_Geer,1,33,12,2,0,19,38,99,38.38383838383838,0
Janna/ML_Geer,2,33,12,0,0,21,36,99,36.36363636363637,0
Janna/ML_Geer,3,33,12,0,0,21,36,99,36.36363636363637,0
Janna/Transport,0,33,33,0,0,0,99,99,100.0,1
Janna/Transport,1,33,33,0,0,0,99,99,100.0,1
Janna/Transport,2,33,33,0,0,0,99,99,100.0,1
Janna/Transport,3,33,30,3,0,0,93,99,93.93939393939394,0
VLSI/ss,0,33,33,0,0,0,99,99,100.0,1
VLSI/ss,1,33,33,0,0,0,99,99,100.0,1
VLSI/ss,2,33,14,1,0,18,44,99,44.44444444444444,0
VLSI/ss,3,33,12,0,0,21,36,99,36.36363636363637,0
VLSI/vas_stokes_2M,0,33,33,0,0,0,99,99,100.0,1
VLSI/vas_stokes_2M,1,33,12,0,0,21,36,99,36.36363636363637,0
VLSI/vas_stokes_2M,2,33,12,0,0,21,36,99,36.36363636363637,0
VLSI/vas_stokes_2M,3,33,12,0,0,21,36,99,36.36363636363637,0
Freescale/memchip,0,33,33,0,0,0,99,99,100.0,1
Freescale/memchip,1,33,33,0,0,0,99,99,100.0,1
Freescale/memchip,2,33,33,0,0,0,99,99,100.0,1
Freescale/memchip,3,33,33,0,0,0,99,99,100.0,1
Freescale/Freescale1,0,33,33,0,0,0,99,99,100.0,1
Freescale/Freescale1,1,33,33,0,0,0,99,99,100.0,1
Freescale/Freescale1,2,33,33,0,0,0,99,99,100.0,1
Freescale/Freescale1,3,33,33,0,0,0,99,99,100.0,1
Freescale/circuit5M_dc,0,33,33,0,0,0,99,99,100.0,1
Freescale/circuit5M_dc,1,33,33,0,0,0,99,99,100.0,1
Freescale/circuit5M_dc,2,33,33,0,0,0,99,99,100.0,1
Freescale/circuit5M_dc,3,33,33,0,0,0,99,99,100.0,1
VLSI/vas_stokes_4M,0,33,15,3,0,15,50,99,50.505050505050505,0
VLSI/vas_stokes_4M,1,33,12,0,0,21,36,99,36.36363636363637,0
VLSI/vas_stokes_4M,2,33,12,0,0,21,36,99,36.36363636363637,0
VLSI/vas_stokes_4M,3,33,12,0,0,21,36,99,36.36363636363637,0
Rajat/rajat31,0,33,33,0,0,0,99,99,100.0,1
Rajat/rajat31,1,33,33,0,0,0,99,99,100.0,1
Rajat/rajat31,2,33,33,0,0,0,99,99,100.0,1
Rajat/rajat31,3,33,33,0,0,0,99,99,100.0,1
vanHeukelum/cage15,0,33,33,0,0,0,99,99,100.0,1
vanHeukelum/cage15,1,33,12,0,0,21,36,99,36.36363636363637,0
Freescale/circuit5M,0,33,9,3,0,21,32,99,32.323232323232325,0
VLSI/stokes,0,33,12,0,0,21,36,99,36.36363636363637,0
