matrix,k,eligible,exclusion_reason,exclusion_evidence,sequential_finite_available,sequential_finite_selected,sequential_nonfinite_attempts,sequential_selected_min_seconds,sequential_selected_median_seconds,sequential_selected_max_seconds
Janna/ML_Laplace,0,1,,,3,3,0,1.188589033,1.189398303,1.190139014
Janna/ML_Laplace,1,1,,,3,3,0,4.067549147,4.085122439,4.097280274
Janna/ML_Laplace,2,1,,,3,3,0,9.329002645,9.347573189,9.470245944
Janna/ML_Laplace,3,1,,,6,3,0,16.81977585,16.84452789,16.85404071
Fluorem/RM07R,0,0,nonfinite_sequential,all observed sequential_ilu checksums or timings were nonfinite,0,0,3,,,
Fluorem/RM07R,1,0,nonfinite_sequential,all observed sequential_ilu checksums or timings were nonfinite,0,0,3,,,
Fluorem/RM07R,2,0,nonfinite_sequential,all observed sequential_ilu checksums or timings were nonfinite,0,0,3,,,
Fluorem/RM07R,3,0,nonfinite_sequential,all observed sequential_ilu checksums or timings were nonfinite,0,0,3,,,
Janna/CoupCons3D,0,1,,,3,3,0,0.816998708,0.817367385,0.82106102
Janna/CoupCons3D,1,1,,,3,3,0,2.817161771,2.898213191,2.946953128
Janna/CoupCons3D,2,1,,,3,3,0,9.300556036,9.305541178,9.367667772
Janna/CoupCons3D,3,1,,,6,3,0,20.36405773,20.37577063,20.39823806
VLSI/vas_stokes_1M,0,1,,,3,3,0,4.140644077,4.144828007,4.145815714
VLSI/vas_stokes_1M,1,1,,,6,3,0,21.77835064,21.9775122,21.98820549
VLSI/vas_stokes_1M,2,1,,,3,3,0,84.07984809,84.17759152,84.22045553
VLSI/vas_stokes_1M,3,1,,,3,3,0,230.1000627,230.2102573,230.2180012
VLSI/dgreen,0,1,,,3,3,0,2.307391011,2.311964404,2.313753451
VLSI/dgreen,1,1,,,3,3,0,9.620096795,9.659311937,9.673417002
VLSI/dgreen,2,1,,,5,3,0,31.94942692,31.95142091,31.95722726
VLSI/dgreen,3,1,,,3,3,0,87.06143307,87.06752331,87.08647315
Bourchtein/atmosmodd,0,1,,,3,3,0,0.04392456601,0.04394968302,0.04398372001
Bourchtein/atmosmodd,1,1,,,3,3,0,0.121890279,0.122134375,0.122535659
Bourchtein/atmosmodd,2,1,,,3,3,0,0.388649299,0.391581065,0.391778722
Bourchtein/atmosmodd,3,1,,,3,3,0,0.871216696,0.87237878,0.874390619
Bourchtein/atmosmodj,0,1,,,3,3,0,0.04390084499,0.04399115004,0.04537925497
Bourchtein/atmosmodj,1,1,,,3,3,0,0.122150869,0.122162612,0.122716349
Bourchtein/atmosmodj,2,1,,,3,3,0,0.387261491,0.388901023,0.391454875
Bourchtein/atmosmodj,3,1,,,3,3,0,0.872558186,0.873369074,0.876010674
Hamrle/Hamrle3,0,1,,,3,3,0,0.03490640997,0.03575752501,0.03599032696
Hamrle/Hamrle3,1,1,,,3,3,0,0.069526562,0.06989312603,0.070107968
Hamrle/Hamrle3,2,0,nonfinite_sequential,all observed sequential_ilu checksums or timings were nonfinite,0,0,3,,,
Hamrle/Hamrle3,3,0,nonfinite_sequential,all observed sequential_ilu checksums or timings were nonfinite,0,0,3,,,
VLSI/nv2,0,1,,,3,3,0,3.451424532,3.459592887,3.461119473
VLSI/nv2,1,1,,,6,3,0,13.20397779,13.30190689,13.30751236
VLSI/nv2,2,1,,,3,3,0,49.11342455,49.34615402,49.37657497
VLSI/nv2,3,1,,,5,3,0,154.2046892,154.3712606,154.4259982
Bourchtein/atmosmodl,0,1,,,3,3,0,0.04917656601,0.04919212603,0.04926019697
Bourchtein/atmosmodl,1,1,,,3,3,0,0.142910999,0.1430012039,0.143079767
Bourchtein/atmosmodl,2,1,,,3,3,0,0.455174503,0.463259028,0.464976703
Bourchtein/atmosmodl,3,1,,,3,3,0,1.021116271,1.021669424,1.025809288
Bourchtein/atmosmodm,0,1,,,3,3,0,0.04931147496,0.04936263402,0.04938802298
Bourchtein/atmosmodm,1,1,,,3,3,0,0.144232179,0.144731541,0.147400495
Bourchtein/atmosmodm,2,1,,,3,3,0,0.45071922,0.451510376,0.45701907
Bourchtein/atmosmodm,3,1,,,3,3,0,1.017984398,1.030936091,1.035694619
Janna/ML_Geer,0,1,,,3,3,0,4.868345701,4.992630991,5.041133647
Janna/ML_Geer,1,1,,,6,3,0,17.44406985,17.44981734,17.50404346
Janna/ML_Geer,2,1,,,5,3,0,39.19788256,39.2299366,39.25907143
Janna/ML_Geer,3,1,,,3,3,0,67.91091739,68.28245806,69.09246595
Janna/Transport,0,1,,,3,3,0,0.189170119,0.189222411,0.190107212
Janna/Transport,1,1,,,3,3,0,0.642663482,0.642793072,0.669351619
