canonical_matrix,family,source,source_file,source_line,seconds_per_sweep,matrix,method,variant,repeat,numeric_repeat,k,sweeps,threads,preprocess,t_preprocess_mc64,t_preprocess_diag,t_preprocess_rcm,t_preprocess_total,t_mc64_prepare,t_mc64_match,t_mc64_apply,t_rcm_order,t_rcm_apply,t_preprocess_reorder_apply,diag_nonzeros_after_mc64,rcm_levels_hint,symbolic_mode,symbolic_levels,symbolic_fallback,n,nnz,L_nnz,U_nnz,S_nnz,t_symbolic_pattern,t_numeric_fill,t_transform,t_algorithm_setup,t_factor,t_total,checksum
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,2,0.051488494380000006,atmosmodd.mtx,ats_ilu,async,1,1,0,5,1,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,2.677748597e-02,2.574424719e-01,2.081394964e+00,3.7309135988257378e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,3,0.05136640358,atmosmodd.mtx,ats_ilu,async,1,2,0,5,1,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,2.487511700e-02,2.568320179e-01,2.078882141e+00,3.7309135988257378e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,4,0.052394040600000004,atmosmodd.mtx,ats_ilu,async,1,3,0,5,1,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,2.477674594e-02,2.619702030e-01,2.083921955e+00,3.7309135988257378e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,5,0.03518840558,atmosmodd.mtx,ats_ilu,async,1,1,0,5,2,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,2.513575205e-02,1.759420279e-01,1.998252786e+00,3.7309136001762841e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,6,0.035086991,atmosmodd.mtx,ats_ilu,async,1,2,0,5,2,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,2.494386001e-02,1.754349550e-01,1.997553821e+00,3.7309135997486822e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,7,0.0351742882,atmosmodd.mtx,ats_ilu,async,1,3,0,5,2,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,2.509809902e-02,1.758714410e-01,1.998144546e+00,3.7309135998238102e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,8,0.01996608919,atmosmodd.mtx,ats_ilu,async,1,1,0,5,4,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,2.487329300e-02,9.983044595e-02,1.921878745e+00,3.7309136075094952e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,9,0.019953691214,atmosmodd.mtx,ats_ilu,async,1,2,0,5,4,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,2.489347209e-02,9.976845607e-02,1.921836934e+00,3.7309136079807542e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,10,0.019945803796,atmosmodd.mtx,ats_ilu,async,1,3,0,5,4,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,2.489771100e-02,9.972901898e-02,1.921801736e+00,3.7309136080855923e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,11,0.014314752212000001,atmosmodd.mtx,ats_ilu,async,1,1,0,5,8,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,2.584088896e-02,7.157376106e-02,1.894589656e+00,3.7309136261157910e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,12,0.013961334619999998,atmosmodd.mtx,ats_ilu,async,1,2,0,5,8,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,2.495027205e-02,6.980667310e-02,1.891931951e+00,3.7309136244983557e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,13,0.014179932582,atmosmodd.mtx,ats_ilu,async,1,3,0,5,8,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,3.181141999e-02,7.089966291e-02,1.899886089e+00,3.7309136274003834e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,14,0.014936360018,atmosmodd.mtx,ats_ilu,async,1,1,0,5,16,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,2.487303200e-02,7.468180009e-02,1.896729838e+00,3.7309137217952074e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,15,0.014939541998,atmosmodd.mtx,ats_ilu,async,1,2,0,5,16,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,2.951326198e-02,7.469770999e-02,1.901385978e+00,3.7309137179806638e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,16,0.0148247774,atmosmodd.mtx,ats_ilu,async,1,3,0,5,16,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,2.956153592e-02,7.412388700e-02,1.900860429e+00,3.7309137240694347e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,17,0.019406838598,atmosmodd.mtx,ats_ilu,async,1,1,0,5,32,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,2.944140299e-02,9.703419299e-02,1.923650602e+00,3.7309143442154909e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,18,0.018695581006000002,atmosmodd.mtx,ats_ilu,async,1,2,0,5,32,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,3.534176701e-02,9.347790503e-02,1.925994678e+00,3.7309141943842703e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,19,0.018443055194,atmosmodd.mtx,ats_ilu,async,1,3,0,5,32,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,3.640431806e-02,9.221527597e-02,1.925794600e+00,3.7309141675291709e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,20,0.0227232568,atmosmodd.mtx,ats_ilu,async,1,1,0,5,64,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,3.710034804e-02,1.136162840e-01,1.947891638e+00,3.7309165972491018e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,21,0.0222802938,atmosmodd.mtx,ats_ilu,async,1,2,0,5,64,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,4.162080598e-02,1.114014690e-01,1.950197281e+00,3.7309165232552779e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,22,0.022211422180000003,atmosmodd.mtx,ats_ilu,async,1,3,0,5,64,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,4.148121504e-02,1.110571109e-01,1.949713332e+00,3.7309168720826898e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,23,0.022360551200000002,atmosmodd.mtx,ats_ilu,async,1,1,0,5,128,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,4.209339200e-02,1.118027560e-01,1.951071154e+00,3.7309203121298584e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,24,0.0218833196,atmosmodd.mtx,ats_ilu,async,1,2,0,5,128,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,4.349982005e-02,1.094165980e-01,1.950091424e+00,3.7309202192555009e+06
Bourchtein/atmosmodd,ats_async,ats_async_norestrict,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or_ats_async_norestrict/unsymmetric_54916545_21_Bourchtein__atmosmodd_k0.csv,25,0.021672603,atmosmodd.mtx,ats_ilu,async,1,3,0,5,128,mc64-rcm,7.004650061e-01,0.000000000e+00,9.692552360e-01,1.670878828e+00,8.059883025e-03,1.025986150e-01,5.898065080e-01,1.257598770e-01,8.434953589e-01,1.433301867e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.764905593e-02,6.196836999e-02,3.667802794e-02,4.400341597e-02,1.083630150e-01,1.949541437e+00,3.7309199910850613e+06
Bourchtein/atmosmodd,ats_sync,original_main,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or/unsymmetric_54773498_21_Bourchtein__atmosmodd_k0.csv,3,0.0419391974,atmosmodd.mtx,ats_ilu,sync_folded,1,1,0,5,1,mc64-rcm,6.998280881e-01,0.000000000e+00,9.592739901e-01,1.660273221e+00,7.984008989e-03,1.023364461e-01,5.895076330e-01,1.256649230e-01,8.336090670e-01,1.423116700e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.757947502e-02,6.183499197e-02,3.681532305e-02,1.401712297e-02,2.096959870e-01,2.010217043e+00,3.7332956873427471e+06
Bourchtein/atmosmodd,ats_sync,original_main,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or/unsymmetric_54773498_21_Bourchtein__atmosmodd_k0.csv,8,0.0419308612,atmosmodd.mtx,ats_ilu,sync_folded,1,2,0,5,1,mc64-rcm,6.998280881e-01,0.000000000e+00,9.592739901e-01,1.660273221e+00,7.984008989e-03,1.023364461e-01,5.895076330e-01,1.256649230e-01,8.336090670e-01,1.423116700e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.757947502e-02,6.183499197e-02,3.681532305e-02,1.394229801e-02,2.096543060e-01,2.010100537e+00,3.7332956873427471e+06
Bourchtein/atmosmodd,ats_sync,original_main,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or/unsymmetric_54773498_21_Bourchtein__atmosmodd_k0.csv,13,0.0416975826,atmosmodd.mtx,ats_ilu,sync_folded,1,3,0,5,1,mc64-rcm,6.998280881e-01,0.000000000e+00,9.592739901e-01,1.660273221e+00,7.984008989e-03,1.023364461e-01,5.895076330e-01,1.256649230e-01,8.336090670e-01,1.423116700e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.757947502e-02,6.183499197e-02,3.681532305e-02,1.403334597e-02,2.084879130e-01,2.009025192e+00,3.7332956873427471e+06
Bourchtein/atmosmodd,ats_sync,original_main,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or/unsymmetric_54773498_21_Bourchtein__atmosmodd_k0.csv,18,0.0303698284,atmosmodd.mtx,ats_ilu,sync_folded,1,1,0,5,2,mc64-rcm,6.998280881e-01,0.000000000e+00,9.592739901e-01,1.660273221e+00,7.984008989e-03,1.023364461e-01,5.895076330e-01,1.256649230e-01,8.336090670e-01,1.423116700e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.757947502e-02,6.183499197e-02,3.681532305e-02,1.402150199e-02,1.518491420e-01,1.952374577e+00,3.7332956873427471e+06
Bourchtein/atmosmodd,ats_sync,original_main,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or/unsymmetric_54773498_21_Bourchtein__atmosmodd_k0.csv,23,0.0304115754,atmosmodd.mtx,ats_ilu,sync_folded,1,2,0,5,2,mc64-rcm,6.998280881e-01,0.000000000e+00,9.592739901e-01,1.660273221e+00,7.984008989e-03,1.023364461e-01,5.895076330e-01,1.256649230e-01,8.336090670e-01,1.423116700e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.757947502e-02,6.183499197e-02,3.681532305e-02,1.383514004e-02,1.520578770e-01,1.952396950e+00,3.7332956873427471e+06
Bourchtein/atmosmodd,ats_sync,original_main,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or/unsymmetric_54773498_21_Bourchtein__atmosmodd_k0.csv,28,0.030433666199999997,atmosmodd.mtx,ats_ilu,sync_folded,1,3,0,5,2,mc64-rcm,6.998280881e-01,0.000000000e+00,9.592739901e-01,1.660273221e+00,7.984008989e-03,1.023364461e-01,5.895076330e-01,1.256649230e-01,8.336090670e-01,1.423116700e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.757947502e-02,6.183499197e-02,3.681532305e-02,1.402626198e-02,1.521683310e-01,1.952698526e+00,3.7332956873427471e+06
Bourchtein/atmosmodd,ats_sync,original_main,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or/unsymmetric_54773498_21_Bourchtein__atmosmodd_k0.csv,33,0.019179098204,atmosmodd.mtx,ats_ilu,sync_folded,1,1,0,5,4,mc64-rcm,6.998280881e-01,0.000000000e+00,9.592739901e-01,1.660273221e+00,7.984008989e-03,1.023364461e-01,5.895076330e-01,1.256649230e-01,8.336090670e-01,1.423116700e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.757947502e-02,6.183499197e-02,3.681532305e-02,1.403346600e-02,9.589549102e-02,1.896432890e+00,3.7332956873427471e+06
Bourchtein/atmosmodd,ats_sync,original_main,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or/unsymmetric_54773498_21_Bourchtein__atmosmodd_k0.csv,38,0.019118955405999997,atmosmodd.mtx,ats_ilu,sync_folded,1,2,0,5,4,mc64-rcm,6.998280881e-01,0.000000000e+00,9.592739901e-01,1.660273221e+00,7.984008989e-03,1.023364461e-01,5.895076330e-01,1.256649230e-01,8.336090670e-01,1.423116700e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.757947502e-02,6.183499197e-02,3.681532305e-02,1.390895405e-02,9.559477703e-02,1.896007664e+00,3.7332956873427471e+06
Bourchtein/atmosmodd,ats_sync,original_main,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or/unsymmetric_54773498_21_Bourchtein__atmosmodd_k0.csv,43,0.018999202992,atmosmodd.mtx,ats_ilu,sync_folded,1,3,0,5,4,mc64-rcm,6.998280881e-01,0.000000000e+00,9.592739901e-01,1.660273221e+00,7.984008989e-03,1.023364461e-01,5.895076330e-01,1.256649230e-01,8.336090670e-01,1.423116700e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.757947502e-02,6.183499197e-02,3.681532305e-02,1.341849298e-02,9.499601496e-02,1.894918441e+00,3.7332956873427471e+06
Bourchtein/atmosmodd,ats_sync,original_main,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or/unsymmetric_54773498_21_Bourchtein__atmosmodd_k0.csv,48,0.013277833408000001,atmosmodd.mtx,ats_ilu,sync_folded,1,1,0,5,8,mc64-rcm,6.998280881e-01,0.000000000e+00,9.592739901e-01,1.660273221e+00,7.984008989e-03,1.023364461e-01,5.895076330e-01,1.256649230e-01,8.336090670e-01,1.423116700e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.757947502e-02,6.183499197e-02,3.681532305e-02,1.409460400e-02,6.638916704e-02,1.866987704e+00,3.7332956873427471e+06
Bourchtein/atmosmodd,ats_sync,original_main,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or/unsymmetric_54773498_21_Bourchtein__atmosmodd_k0.csv,53,0.012995834404000001,atmosmodd.mtx,ats_ilu,sync_folded,1,2,0,5,8,mc64-rcm,6.998280881e-01,0.000000000e+00,9.592739901e-01,1.660273221e+00,7.984008989e-03,1.023364461e-01,5.895076330e-01,1.256649230e-01,8.336090670e-01,1.423116700e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.757947502e-02,6.183499197e-02,3.681532305e-02,1.386119198e-02,6.497917202e-02,1.865344297e+00,3.7332956873427471e+06
Bourchtein/atmosmodd,ats_sync,original_main,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or/unsymmetric_54773498_21_Bourchtein__atmosmodd_k0.csv,58,0.013071459008,atmosmodd.mtx,ats_ilu,sync_folded,1,3,0,5,8,mc64-rcm,6.998280881e-01,0.000000000e+00,9.592739901e-01,1.660273221e+00,7.984008989e-03,1.023364461e-01,5.895076330e-01,1.256649230e-01,8.336090670e-01,1.423116700e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.757947502e-02,6.183499197e-02,3.681532305e-02,1.396911999e-02,6.535729504e-02,1.865830348e+00,3.7332956873427471e+06
Bourchtein/atmosmodd,ats_sync,original_main,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or/unsymmetric_54773498_21_Bourchtein__atmosmodd_k0.csv,63,0.014359710202000001,atmosmodd.mtx,ats_ilu,sync_folded,1,1,0,5,16,mc64-rcm,6.998280881e-01,0.000000000e+00,9.592739901e-01,1.660273221e+00,7.984008989e-03,1.023364461e-01,5.895076330e-01,1.256649230e-01,8.336090670e-01,1.423116700e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.757947502e-02,6.183499197e-02,3.681532305e-02,1.402251399e-02,7.179855101e-02,1.872324998e+00,3.7332956873427471e+06
Bourchtein/atmosmodd,ats_sync,original_main,results/perlmutter_2026-08-03/scratch/ats_ilu_results/scaling_or/unsymmetric_54773498_21_Bourchtein__atmosmodd_k0.csv,68,0.014450518392000001,atmosmodd.mtx,ats_ilu,sync_folded,1,2,0,5,16,mc64-rcm,6.998280881e-01,0.000000000e+00,9.592739901e-01,1.660273221e+00,7.984008989e-03,1.023364461e-01,5.895076330e-01,1.256649230e-01,8.336090670e-01,1.423116700e+00,1270432,352,levelset,1,0,1270432,8814880,5042656,5042656,8814880,2.757947502e-02,6.183499197e-02,3.681532305e-02,1.433390804e-02,7.225259196e-02,1.873090433e+00,3.7332956873427471e+06
